UserId,tyson
Song History
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
2024-10-06 19:28:42,Goin' Under,13,12,10,13,7,16,8,14,38,55,3800,down(0.00%)
2024-10-06 19:30:01,INCORRECT,14,11,12,11,13,10,13,9,52,41,9999,left(100.00%)
2024-10-06 19:35:48,Goin' Under,14,11,12,11,13,10,13,9,52,41,5200,left(100.00%)
2024-10-06 19:41:01,OTHER,14,11,12,11,13,10,13,9,52,41,9999,left(100.00%)
2024-10-06 19:42:49,Goin' Under,12,13,13,10,14,9,9,13,48,45,4800,right(40.91%)
2024-10-06 19:50:01,WRONG,14,11,12,11,13,10,13,9,52,41,9999,left(100.00%)
2024-10-13 16:14:32,Goin' Under,11,14,20,3,14,9,11,11,56,37,5600,left(44.00%)
2024-10-13 16:35:33,Goin' Under,2,23,1,22,2,21,2,20,7,86,700,down(4.35%)
2024-10-13 16:46:46,Goin' Under,4,21,1,22,2,21,5,17,12,81,1200,down(4.35%)
2024-10-13 16:52:41,Goin' Under,0,25,0,23,0,23,0,22,0,93,0,left(0.00%)
2024-10-13 17:18:29,Goin' Under,3,22,8,14,13,10,12,10,36,57,3600,left(12.00%)
2024-10-14 18:02:55,Goin' Under,9,16,19,4,12,11,17,5,57,36,5700,left(36.00%)
2024-10-14 18:52:36,Goin' Under,9,16,0,23,21,2,5,17,35,58,3500,down(0.00%)
2024-10-22 19:23:27,Goin' Under,13,12,11,12,8,15,13,9,45,48,4500,up(34.78%)
2024-10-22 19:51:24,Goin' Under,9,16,18,5,13,10,15,7,55,38,5500,left(36.00%)
2024-10-26 18:05:43,Goin' Under,0,24,0,23,0,23,0,22,0,93,0,left(0.00%)
2024-10-26 21:20:22,Goin' Under,0,25,0,23,0,23,0,22,0,93,0,left(0.00%)
2024-10-26 22:30:00,Goin' Under,5,20,13,10,17,6,15,7,50,43,5000,left(20.00%)
2024-10-27 15:54:17,Goin' Under,15,10,16,7,15,8,20,2,66,27,6600,left(60.00%)
2024-10-27 16:11:23,Goin' Under,12,13,14,9,16,7,8,14,50,43,5000,right(36.36%)
2024-10-27 16:23:54,Goin' Under,0,25,17,6,0,23,15,7,32,61,3200,left(0.00%)
2024-10-27 16:37:11,Goin' Under,0,25,20,3,0,23,13,9,33,60,3300,left(0.00%)
2024-10-27 16:40:11,Goin' Under,0,25,2,21,0,23,3,19,5,88,500,left(0.00%)
2024-10-27 17:02:05,Goin' Under,1,24,19,4,19,4,17,5,56,37,5600,left(4.00%)
2024-10-27 17:04:32,Goin' Under,8,17,21,2,22,1,17,5,68,25,6800,left(32.00%)
